Matrix 1
0, 0, 1, 0, 0
0, 1, 1, 0, 0
0, 0, 1, 0, 0
0, 0, 1, 0, 0
0, 0, 1, 0, 0
0, 0, 1, 0, 0
0, 1, 1, 1, 0

Matrix 2
0, 1, 1, 1, 0
1, 0, 0, 0, 1
0, 0, 0, 0, 1
0, 1, 1, 1, 0
1, 0, 0, 0, 0
1, 0, 0, 0, 0
0, 1, 1, 1, 1

Matrix 3
0, 1, 1, 1, 0
1, 0, 0, 0, 1
0, 0, 0, 0, 1
0, 1, 1, 1, 0
0, 0, 0, 0, 1
1, 0, 0, 0, 1
0, 1, 1, 1, 0

Matrix 4
0, 0, 0, 1, 0
0, 0, 1, 1, 0
0, 1, 0, 1, 0
1, 0, 0, 1, 0
1, 1, 1, 1, 1
0, 0, 0, 1, 0
0, 0, 0, 1, 0

Matrix 5
1, 1, 1, 1, 1
1, 0, 0, 0, 0
1, 1, 1, 1, 0
0, 0, 0, 0, 1
0, 0, 0, 0, 1
1, 0, 0, 0, 1
0, 1, 1, 1, 0

Matrix 6
0, 0, 1, 1, 0
0, 1, 0, 0, 0
1, 0, 0, 0, 0
1, 1, 1, 1, 0
1, 0, 0, 0, 1
1, 0, 0, 0, 1
0, 1, 1, 1, 0

Matrix 7
1, 1, 1, 1, 1
0, 0, 0, 0, 1
0, 0, 0, 1, 0
0, 0, 1, 0, 0
0, 1, 0, 0, 0
0, 1, 0, 0, 0
0, 1, 0, 0, 0

Matrix 8
0, 1, 1, 1, 0
1, 0, 0, 0, 1
1, 0, 0, 0, 1
0, 1, 1, 1, 0
1, 0, 0, 0, 1
1, 0, 0, 0, 1
0, 1, 1, 1, 0

Matrix 9
0, 1, 1, 1, 0
1, 0, 0, 0, 1
1, 0, 0, 0, 1
0, 1, 1, 1, 1
0, 0, 0, 0, 1
0, 0, 0, 1, 0
0, 1, 1, 0, 0

Matrix 10
0, 0, 1, 1, 0
0, 1, 0, 0, 1
0, 1, 0, 0, 1
0, 1, 0, 0, 1
0, 1, 0, 0, 1
0, 1, 0, 0, 1
0, 0, 1, 1, 0
